RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-06-30,2022-08-31,2023-05-31
394546,343,"Dunn, NC",Msa,NC,2022-05-31,2.0,5.6,12.7
395237,344,"Wooster, OH",Msa,OH,2022-05-31,3.2,5.9,13.9
394880,345,"Morristown, TN",Msa,TN,2022-05-31,1.6,4.4,10.2
394734,346,"Kankakee, IL",Msa,IL,2022-05-31,1.0,2.9,6.4
394423,347,"Brunswick, GA",Msa,GA,2022-05-31,1.9,5.2,11.4
394932,348,"Ogdensburg, NY",Msa,NY,2022-05-31,2.7,7.2,13.0
395054,349,"San Angelo, TX",Msa,TX,2022-05-31,0.8,2.5,5.7
394857,350,"Michigan City, IN",Msa,IN,2022-05-31,1.6,3.9,9.3
753890,351,"Holland, MI",Msa,MI,2022-05-31,1.0,3.3,9.3
395218,352,"Wenatchee, WA",Msa,WA,2022-05-31,1.3,4.5,11.7
394778,353,"Lawrence, KS",Msa,KS,2022-05-31,1.2,3.7,9.1
394524,354,"Decatur, IL",Msa,IL,2022-05-31,0.8,3.1,6.0
394867,355,"Missoula, MT",Msa,MT,2022-05-31,1.8,6.1,17.7
753915,356,"Salem, OH",Msa,OH,2022-05-31,0.9,3.2,7.2
394369,357,"Bay City, MI",Msa,MI,2022-05-31,1.3,4.2,10.1
394788,358,"Lewiston, ME",Msa,ME,2022-05-31,1.0,4.1,12.1
395039,359,"Roseburg, OR",Msa,OR,2022-05-31,1.2,4.3,12.0
395139,360,"Sumter, SC",Msa,SC,2022-05-31,1.2,3.8,7.5
394852,361,"Meridian, MS",Msa,MS,2022-05-31,0.7,2.1,2.6
395095,361,"Show Low, AZ",Msa,AZ,2022-05-31,1.2,4.6,14.8
394396,363,"Bluefield, WV",Msa,WV,2022-05-31,0.7,2.3,4.4
394518,364,"Danville, VA",Msa,VA,2022-05-31,0.6,2.3,4.8
394794,365,"Lima, OH",Msa,OH,2022-05-31,1.5,4.0,9.1
394495,366,"Cookeville, TN",Msa,TN,2022-05-31,2.4,5.6,13.0
753872,367,"California-Lexington Park, MD",Msa,MD,2022-05-31,0.7,2.4,5.3
394620,368,"Gadsden, AL",Msa,AL,2022-05-31,0.9,4.5,11.6
394513,369,"Cumberland, MD",Msa,MD,2022-05-31,1.9,4.6,7.3
394804,370,"Longview, WA",Msa,WA,2022-05-31,1.0,3.5,11.4
395222,371,"Whitewater, WI",Msa,WI,2022-05-31,0.5,3.0,8.7
394599,372,"Fond du Lac, WI",Msa,WI,2022-05-31,0.5,2.8,7.2
394709,373,"Ithaca, NY",Msa,NY,2022-05-31,1.9,3.9,6.4
394340,374,"Ashtabula, OH",Msa,OH,2022-05-31,2.1,3.8,8.2
394630,375,"Gettysburg, PA",Msa,PA,2022-05-31,1.3,3.3,6.2
